date,cpi_yoy
1/1/2015,0.94
2/1/2015,0.34
3/1/2015,0.93
4/1/2015,0.99
5/1/2015,0.95
6/1/2015,1
7/1/2015,0.9
8/1/2015,0.61
9/1/2015,0
10/1/2015,0
11/1/2015,0.34
12/1/2015,0.6
1/1/2016,0.8
2/1/2016,1.27
3/1/2016,1.69
4/1/2016,1.89
5/1/2016,2.28
6/1/2016,2.4
7/1/2016,2.39
8/1/2016,2.57
9/1/2016,3.34
10/1/2016,4.09
11/1/2016,4.52
12/1/2016,4.74
1/1/2017,5.22
2/1/2017,5.02
3/1/2017,4.65
4/1/2017,4.3
5/1/2017,3.19
6/1/2017,2.54
7/1/2017,2.52
8/1/2017,3.35
9/1/2017,3.4
10/1/2017,2.98
11/1/2017,2.62
12/1/2017,2.6
1/1/2018,2.65
2/1/2018,3.15
3/1/2018,2.66
4/1/2018,2.75
5/1/2018,3.86
6/1/2018,4.67
7/1/2018,4.46
8/1/2018,4
9/1/2018,3.98
10/1/2018,3.89
11/1/2018,3.46
12/1/2018,2.98
1/1/2019,2.56
2/1/2019,2.64
3/1/2019,2.7
4/1/2019,2.93
5/1/2019,2.88
6/1/2019,2.16
7/1/2019,2.44
8/1/2019,2.26
9/1/2019,1.98
10/1/2019,2.24
11/1/2019,3.52
12/1/2019,5.23
1/1/2020,6.43
2/1/2020,5.4
3/1/2020,4.87
4/1/2020,2.93
5/1/2020,2.4
6/1/2020,3.17
7/1/2020,3.39
8/1/2020,3.18
9/1/2020,2.98
10/1/2020,2.47
11/1/2020,1.48
12/1/2020,0.19
1/1/2021,-0.97
2/1/2021,0.7
3/1/2021,1.16
4/1/2021,2.7
5/1/2021,2.9
6/1/2021,2.41
7/1/2021,2.64
8/1/2021,2.82
9/1/2021,2.06
10/1/2021,1.77
11/1/2021,2.1
12/1/2021,1.81
1/1/2022,1.94
2/1/2022,1.42
3/1/2022,2.41
4/1/2022,2.64
5/1/2022,2.86
6/1/2022,3.37
7/1/2022,3.59
8/1/2022,2.89
9/1/2022,3.94
10/1/2022,4.3
11/1/2022,4.37
12/1/2022,4.55
1/1/2023,4.89
2/1/2023,4.31
3/1/2023,3.35
4/1/2023,2.81
5/1/2023,2.43
6/1/2023,2
7/1/2023,2.06
8/1/2023,2.96
9/1/2023,3.66
10/1/2023,2.97
11/1/2023,3.02
12/1/2023,3.67
1/1/2024,3.37
2/1/2024,4.31
3/1/2024,3.35
4/1/2024,2.81
5/1/2024,2.43
6/1/2024,2.5
7/1/2024,2.06
8/1/2024,2.96
9/1/2024,3.66
10/1/2024,2.94
11/1/2024,3.02
12/1/2024,3.66
