Điều,Chủ đề,Khoản,Nội dung,Tóm tắt,Thời gian,Bộ luật
1,Phạm vi điều chỉnh,,"Luật này quy định các hoạt động về chứng khoán và thị trường chứng khoán; quyền và nghĩa vụ của tổ chức, cá nhân trong lĩnh vực chứng khoán; tổ chức thị trường chứng khoán; quản lý nhà nước về chứng khoán và thị trường chứng khoán.","Luật quy định về hoạt động chứng khoán và thị trường chứng khoán, quyền, nghĩa vụ của tổ chức, cá nhân và quản lý nhà nước trong lĩnh vực này",2019,Luật số 54/2019/QH14
2,Đối tượng áp dụng,1,"Tổ chức, cá nhân Việt Nam và tổ chức, cá nhân nước ngoài tham gia đầu tư chứng khoán và hoạt động trên thị trường chứng khoán Việt Nam.","Đối tượng áp dụng gồm tổ chức, cá nhân Việt Nam và nước ngoài tham gia đầu tư, hoạt động trên TTCK Việt Nam, cùng cơ quan quản lý và các bên liên quan.",2019,Luật số 54/2019/QH14
2,Đối tượng áp dụng,2,Cơ quan quản lý nhà nước về chứng khoán và thị trường chứng khoán.,Cơ quan quản lý nhà nước về chứng khoán và thị trường chứng khoán,2019,Luật số 54/2019/QH14
2,Đối tượng áp dụng,3,"Cơ quan, tổ chức, cá nhân khác có liên quan đến hoạt động về chứng khoán và thị trường chứng khoán.","Cơ quan, tổ chức, cá nhân khác có liên quan đến hoạt động về chứng khoán và thị trường chứng khoán",2019,Luật số 54/2019/QH14
3,"Áp dụng Luật Chứng khoán, các luật có liên quan",,"Các hoạt động về chứng khoán và thị trường chứng khoán, quyền và nghĩa vụ của tổ chức, cá nhân trong lĩnh vực chứng khoán, tổ chức thị trường chứng khoán, quản lý nhà nước về chứng khoán và thị trường chứng khoán phải tuân thủ quy định của Luật này và quy định khác của pháp luật có liên quan.","Mọi hoạt động chứng khoán và thị trường chứng khoán phải tuân thủ Luật Chứng khoán.

Tổ chức, cá nhân tham gia thị trường có quyền và nghĩa vụ theo luật.

Các hoạt động tổ chức thị trường và quản lý nhà nước phải chấp hành các quy định pháp luật liên quan.",2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,1,"Chứng khoán là tài sản, bao gồm các loại sau đây:
a) Cổ phiếu, trái phiếu, chứng chỉ quỹ;
b) Chứng quyền, chứng quyền có bảo đảm, quyền mua cổ phần, chứng chỉ lưu ký;
c) Chứng khoán phái sinh;
d) Các loại chứng khoán khác do Chính phủ quy định.","Chứng khoán là tài sản, bao gồm các loại sau đây:
a) Cổ phiếu, trái phiếu, chứng chỉ quỹ;
b) Chứng quyền, chứng quyền có bảo đảm, quyền mua cổ phần, chứng chỉ lưu ký;
c) Chứng khoán phái sinh;
d) Các loại chứng khoán khác do Chính phủ quy định",2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,2,Cổ phiếu là loại chứng khoán xác nhận quyền và lợi ích hợp pháp của người sở hữu đối với một phần vốn cổ phần của tổ chức phát hành.,Cổ phiếu là loại chứng khoán xác nhận quyền và lợi ích hợp pháp của người sở hữu đối với một phần vốn cổ phần của tổ chức phát hành,2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,3,Trái phiếu là loại chứng khoán xác nhận quyền và lợi ích hợp pháp của người sở hữu đối với một phần nợ của tổ chức phát hành.,Trái phiếu là loại chứng khoán xác nhận quyền và lợi ích hợp pháp của người sở hữu đối với một phần nợ của tổ chức phát hành,2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,4,Chứng chỉ quỹ là loại chứng khoán xác nhận quyền sở hữu của nhà đầu tư đối với một phần vốn góp của quỹ đầu tư chứng khoán.,Chứng chỉ quỹ là loại chứng khoán xác nhận quyền sở hữu của nhà đầu tư đối với một phần vốn góp của quỹ đầu tư chứng khoán,2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,5,"Chứng quyền là loại chứng khoán được phát hành cùng với việc phát hành trái phiếu hoặc cổ phiếu ưu đãi, cho phép người sở hữu chứng quyền được quyền mua một số cổ phiếu phổ thông nhất định theo mức giá đã được xác định trước trong khoảng thời gian xác định.","Chứng quyền là loại chứng khoán được phát hành cùng với việc phát hành trái phiếu hoặc cổ phiếu ưu đãi, cho phép người sở hữu chứng quyền được quyền mua một số cổ phiếu phổ thông nhất định theo mức giá đã được xác định trước trong khoảng thời gian xác định",2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,6,"Chứng quyền có bảo đảm là loại chứng khoán có tài sản bảo đảm do công ty chứng khoán phát hành, cho phép người sở hữu được quyền mua (chứng quyền mua) hoặc được quyền bán (chứng quyền bán) chứng khoán cơ sở với tổ chức phát hành chứng quyền có bảo đảm đó theo mức giá đã được xác định trước, tại một thời điểm hoặc trước một thời điểm đã được ấn định hoặc nhận khoản tiền chênh lệch giữa giá thực hiện và giá chứng khoán cơ sở tại thời điểm thực hiện.","Chứng quyền có bảo đảm là chứng khoán có tài sản bảo đảm, cho phép người sở hữu mua/bán chứng khoán cơ sở theo giá và thời điểm xác định hoặc nhận tiền chênh lệch.",2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,7,Quyền mua cổ phần là loại chứng khoán do công ty cổ phần phát hành nhằm mang lại cho cổ đông hiện hữu quyền được mua cổ phần mới theo điều kiện đã được xác định.,Quyền mua cổ phần là loại chứng khoán do công ty cổ phần phát hành nhằm mang lại cho cổ đông hiện hữu quyền được mua cổ phần mới theo điều kiện đã được xác định,2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,8,Chứng chỉ lưu ký là loại chứng khoán được phát hành trên cơ sở chứng khoán của tổ chức được thành lập và hoạt động hợp pháp tại Việt Nam.,Chứng chỉ lưu ký là loại chứng khoán được phát hành trên cơ sở chứng khoán của tổ chức được thành lập và hoạt động hợp pháp tại Việt Nam,2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,9,"Chứng khoán phái sinh là công cụ tài chính dưới dạng hợp đồng, bao gồm hợp đồng quyền chọn, hợp đồng tương lai, hợp đồng kỳ hạn, trong đó xác nhận quyền, nghĩa vụ của các bên đối với việc thanh toán tiền, chuyển giao số lượng tài sản cơ sở nhất định theo mức giá đã được xác định trong khoảng thời gian hoặc vào ngày đã xác định trong tương lai.","Chứng khoán phái sinh là hợp đồng tài chính xác nhận quyền, nghĩa vụ của các bên về thanh toán hoặc chuyển giao tài sản cơ sở theo giá và thời điểm đã xác định trong tương lai.",2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,10,"Tài sản cơ sở của chứng khoán phái sinh (sau đây gọi là tài sản cơ sở) là chứng khoán, chỉ số chứng khoán hoặc tài sản khác theo quy định của Chính phủ được sử dụng làm cơ sở để xác định giá trị chứng khoán phái sinh.","Tài sản cơ sở của chứng khoán phái sinh (sau đây gọi là tài sản cơ sở) là chứng khoán, chỉ số chứng khoán hoặc tài sản khác theo quy định của Chính phủ được sử dụng làm cơ sở để xác định giá trị chứng khoán phái sinh",2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,11,"Hợp đồng quyền chọn là loại chứng khoán phái sinh, xác nhận quyền của người mua và nghĩa vụ của người bán để thực hiện một trong các giao dịch sau đây:
a) Mua hoặc bán số lượng tài sản cơ sở nhất định theo mức giá thực hiện đã được xác định tại thời điểm trước hoặc vào ngày đã xác định trong tương lai;
b) Thanh toán khoản chênh lệch giữa giá trị tài sản cơ sở đã được xác định tại thời điểm giao kết hợp đồng và giá trị tài sản cơ sở tại thời điểm trước hoặc vào ngày đã xác định trong tương lai.","
Hợp đồng quyền chọn là chứng khoán phái sinh, xác nhận quyền của người mua và nghĩa vụ của người bán để mua/bán tài sản cơ sở theo giá đã xác định hoặc thanh toán chênh lệch giữa giá hợp đồng và giá tài sản cơ sở.",2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,12,"Hợp đồng tương lai là loại chứng khoán phái sinh niêm yết, xác nhận cam kết giữa các bên để thực hiện một trong các giao dịch sau đây:
a) Mua hoặc bán số lượng tài sản cơ sở nhất định theo mức giá đã được xác định vào ngày đã xác định trong tương lai;
b) Thanh toán khoản chênh lệch giữa giá trị tài sản cơ sở đã được xác định tại thời điểm giao kết hợp đồng và giá trị tài sản cơ sở vào ngày đã xác định trong tương lai.","Hợp đồng tương lai là chứng khoán phái sinh niêm yết, xác nhận cam kết giữa các bên để mua/bán tài sản cơ sở theo giá đã xác định hoặc thanh toán chênh lệch vào ngày đã xác định trong tương lai.",2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,13,"Hợp đồng kỳ hạn là loại chứng khoán phái sinh giao dịch thỏa thuận, xác nhận cam kết giữa các bên về việc mua hoặc bán số lượng tài sản cơ sở nhất định theo mức giá đã được xác định vào ngày đã xác định trong tương lai.","Hợp đồng kỳ hạn là loại chứng khoán phái sinh giao dịch thỏa thuận, xác nhận cam kết giữa các bên về việc mua hoặc bán số lượng tài sản cơ sở nhất định theo mức giá đã được xác định vào ngày đã xác định trong tương lai",2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,14,"Hoạt động về chứng khoán và thị trường chứng khoán bao gồm hoạt động chào bán, niêm yết, giao dịch, kinh doanh, đầu tư chứng khoán, cung cấp dịch vụ về chứng khoán, công bố thông tin, quản trị công ty đại chúng và các hoạt động khác được quy định tại Luật này.","Hoạt động về chứng khoán và thị trường chứng khoán bao gồm hoạt động chào bán, niêm yết, giao dịch, kinh doanh, đầu tư chứng khoán, cung cấp dịch vụ về chứng khoán, công bố thông tin, quản trị công ty đại chúng và các hoạt động khác được quy định tại Luật này",2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,15,"Đầu tư chứng khoán là việc mua, bán, nắm giữ chứng khoán của nhà đầu tư trên thị trường chứng khoán.","Đầu tư chứng khoán là việc mua, bán, nắm giữ chứng khoán của nhà đầu tư trên thị trường chứng khoán",2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,16,"Nhà đầu tư là tổ chức, cá nhân tham gia đầu tư trên thị trường chứng khoán.","Nhà đầu tư là tổ chức, cá nhân tham gia đầu tư trên thị trường chứng khoán",2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,17,"Nhà đầu tư chiến lược là nhà đầu tư được Đại hội đồng cổ đông lựa chọn theo các tiêu chí về năng lực tài chính, trình độ công nghệ và có cam kết hợp tác với công ty trong thời gian ít nhất 03 năm.","Nhà đầu tư chiến lược là nhà đầu tư được Đại hội đồng cổ đông lựa chọn theo các tiêu chí về năng lực tài chính, trình độ công nghệ và có cam kết hợp tác với công ty trong thời gian ít nhất 03 năm",2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,18,Cổ đông lớn là cổ đông sở hữu từ 5% trở lên số cổ phiếu có quyền biểu quyết của một tổ chức phát hành.,Cổ đông lớn là cổ đông sở hữu từ 5% trở lên số cổ phiếu có quyền biểu quyết của một tổ chức phát hành,2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,19,"Chào bán chứng khoán ra công chúng là việc chào bán chứng khoán theo một trong các phương thức sau đây:
a) Chào bán thông qua phương tiện thông tin đại chúng;
b) Chào bán cho từ 100 nhà đầu tư trở lên, không kể nhà đầu tư chứng khoán chuyên nghiệp;
c) Chào bán cho các nhà đầu tư không xác định.","Chào bán chứng khoán ra công chúng là việc phát hành chứng khoán thông qua phương tiện đại chúng, hoặc cho ≥100 nhà đầu tư không chuyên nghiệp, hoặc cho các nhà đầu tư không xác định.",2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,20,"Chào bán chứng khoán riêng lẻ là việc chào bán chứng khoán không thuộc trường hợp quy định tại điểm a khoản 19 Điều này và theo một trong các phương thức sau đây:
a) Chào bán cho dưới 100 nhà đầu tư, không kể nhà đầu tư chứng khoán chuyên nghiệp;
b) Chỉ chào bán cho nhà đầu tư chứng khoán chuyên nghiệp.",Chào bán chứng khoán riêng lẻ là phát hành chứng khoán cho <100 nhà đầu tư không chuyên nghiệp hoặc chỉ cho nhà đầu tư chứng khoán chuyên nghiệp.,2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,21,"Tổ chức phát hành là tổ chức thực hiện chào bán, phát hành chứng khoán.","Tổ chức phát hành là tổ chức thực hiện chào bán, phát hành chứng khoán",2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,22,Tổ chức kiểm toán được chấp thuận là tổ chức kiểm toán độc lập thuộc danh sách các tổ chức kiểm toán được Ủy ban Chứng khoán Nhà nước chấp thuận kiểm toán theo quy định của Luật này và pháp luật về kiểm toán độc lập.,Tổ chức kiểm toán được chấp thuận là tổ chức kiểm toán độc lập thuộc danh sách các tổ chức kiểm toán được Ủy ban Chứng khoán Nhà nước chấp thuận kiểm toán theo quy định của Luật này và pháp luật về kiểm toán độc lập,2019,Luật số 54/2019/QH14
