Điều,Chủ đề,Khoản,Nội dung,Tóm tắt,Thời gian,Bộ luật
1,Phạm vi điều chỉnh,,"Luật này quy định các hoạt động về chứng khoán và thị trường chứng khoán; quyền và nghĩa vụ của tổ chức, cá nhân trong lĩnh vực chứng khoán; tổ chức thị trường chứng khoán; quản lý nhà nước về chứng khoán và thị trường chứng khoán.","Luật này quy định các hoạt động về chứng khoán và thị trường chứng khoán; quyền và nghĩa vụ của tổ chức, cá nhân trong lĩnh vực chứng khoán; tổ chức thị trường chứng khoán; quản lý nhà nước về chứng khoán và thị trường chứng khoán",2019,Luật số 54/2019/QH14
2,Đối tượng áp dụng,1,"Tổ chức, cá nhân Việt Nam và tổ chức, cá nhân nước ngoài tham gia đầu tư chứng khoán và hoạt động trên thị trường chứng khoán Việt Nam.","Tổ chức, cá nhân Việt Nam và tổ chức, cá nhân nước ngoài tham gia đầu tư chứng khoán và hoạt động trên thị trường chứng khoán Việt Nam",2019,Luật số 54/2019/QH14
2,Đối tượng áp dụng,2,Cơ quan quản lý nhà nước về chứng khoán và thị trường chứng khoán.,Cơ quan quản lý nhà nước về chứng khoán và thị trường chứng khoán,2019,Luật số 54/2019/QH14
2,Đối tượng áp dụng,3,"Cơ quan, tổ chức, cá nhân khác có liên quan đến hoạt động về chứng khoán và thị trường chứng khoán.","Cơ quan, tổ chức, cá nhân khác có liên quan đến hoạt động về chứng khoán và thị trường chứng khoán",2019,Luật số 54/2019/QH14
3,"Áp dụng Luật Chứng khoán, các luật có liên quan",,"Các hoạt động về chứng khoán và thị trường chứng khoán, quyền và nghĩa vụ của tổ chức, cá nhân trong lĩnh vực chứng khoán, tổ chức thị trường chứng khoán, quản lý nhà nước về chứng khoán và thị trường chứng khoán phải tuân thủ quy định của Luật này và quy định khác của pháp luật có liên quan.","Các hoạt động về chứng khoán và thị trường chứng khoán, quyền và nghĩa vụ của tổ chức, cá nhân trong lĩnh vực chứng khoán, tổ chức thị trường chứng khoán, quản lý nhà nước về chứng khoán và thị trường chứng khoán phải tuân thủ quy định của Luật này và quy định khác của pháp luật có liên quan",2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,1,"Chứng khoán là tài sản, bao gồm các loại sau đây:
a) Cổ phiếu, trái phiếu, chứng chỉ quỹ;
b) Chứng quyền, chứng quyền có bảo đảm, quyền mua cổ phần, chứng chỉ lưu ký;
c) Chứng khoán phái sinh;
d) Các loại chứng khoán khác do Chính phủ quy định.","Chứng khoán là tài sản, bao gồm các loại sau đây:
a) Cổ phiếu, trái phiếu, chứng chỉ quỹ;
b) Chứng quyền, chứng quyền có bảo đảm, quyền mua cổ phần, chứng chỉ lưu ký;
c) Chứng khoán phái sinh;
d) Các loại chứng khoán khác do Chính phủ quy định",2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,2,Cổ phiếu là loại chứng khoán xác nhận quyền và lợi ích hợp pháp của người sở hữu đối với một phần vốn cổ phần của tổ chức phát hành.,Cổ phiếu là loại chứng khoán xác nhận quyền và lợi ích hợp pháp của người sở hữu đối với một phần vốn cổ phần của tổ chức phát hành,2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,3,Trái phiếu là loại chứng khoán xác nhận quyền và lợi ích hợp pháp của người sở hữu đối với một phần nợ của tổ chức phát hành.,Trái phiếu là loại chứng khoán xác nhận quyền và lợi ích hợp pháp của người sở hữu đối với một phần nợ của tổ chức phát hành,2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,4,Chứng chỉ quỹ là loại chứng khoán xác nhận quyền sở hữu của nhà đầu tư đối với một phần vốn góp của quỹ đầu tư chứng khoán.,Chứng chỉ quỹ là loại chứng khoán xác nhận quyền sở hữu của nhà đầu tư đối với một phần vốn góp của quỹ đầu tư chứng khoán,2019,Luật số 54/2019/QH14
4,Giải thích từ ngữ,5,"Chứng quyền là loại chứng khoán được phát hành cùng với việc phát hành trái phiếu hoặc cổ phiếu ưu đãi, cho phép người sở hữu chứng quyền được quyền mua một số cổ phiếu phổ thông nhất định theo mức giá đã được xác định trước trong khoảng thời gian xác định.","Chứng quyền là loại chứng khoán được phát hành cùng với việc phát hành trái phiếu hoặc cổ phiếu ưu đãi, cho phép người sở hữu chứng quyền được quyền mua một số cổ phiếu phổ thông nhất định theo mức giá đã được xác định trước trong khoảng thời gian xác định",2019,Luật số 54/2019/QH14
